dir_id,inventory_number,name,has_tif,has_tfw,has_georef
001201,T.D-13.02,Dziura w Szczerbie II,True,False,False
001202,T.D-13.03,Dziura w Szczerbie I,True,False,False
001203,T.D-12.01,Jaskinia Śpiących Rycerzy,True,False,False
001204,T.D-13.04,Szczelina w Żlebie Kirkora,True,False,False
001205,T.D-13.05,Nyża pod Brzózką,True,False,False
001206,T.D-13.06,Nyża w Siodłowej Turni,True,False,False
001207,T.D-12.02,Siwarowa Dziura,True,False,False
001208,T.D-13.07,Nyża przy Starym Szlaku,True,False,False
001209,T.D-13.08,Nyża nad Siodłem,True,False,False
001210,T.D-12.03,Schron Partyzantów,True,False,False
001211,T.D-12.04,Tunel pod Siwarową Dziurą,True,False,False
001212,T.D-14.01,Jaskinia Juhaska,True,False,False
001213,T.D-12.05,Jaskinia Błotna,True,False,False
001214,T.D-14.02,Ruda Nyża,True,False,False
001215,T.D-14.03,Jaskinia Zawaliskowa w Długim Giewoncie,True,False,False
001216,T.D-12.06,Nisza przy Zagonie,True,False,False
001217,T.D-14.04,Szczelina w Giewoncie I,True,False,False
001218,T.D-14.05,Szczelina w Giewoncie II,True,False,False
001219,T.D-14.06,Szczelina pod Głazem,True,False,False
001220,T.D-14.07,Studnia w Giewoncie,True,False,False
001221,T.D-15.01,Kozi Korytarz,True,False,False
001222,T.D-12.07,Jaskinia nad Zagonem,True,False,False
001223,T.D-12.08,Szczelina w Iglicy,True,False,False
001224,T.D-12.09,Jaskinia pod Iglicą,True,False,False
001225,T.D-16.01,Jaskinia Goryczkowa,True,False,False
001226,T.D-16.02,Myślenicka Dziura,True,False,False
001227,T.D-16.03,Jaskinia Kasprowa Niżnia,True,False,False
001228,T.D-16.04,Jaskinia Bystrej,True,False,False
001229,T.D-12.10,Jaskinia nad Korytem,True,False,False
001230,T.D-12.11,Dziura nad Korytem,True,False,False
001231,T.D-16.05,Jaskinia Dudnica,True,False,False
001232,T.D-12.12,Tunel Małołącki,True,False,False
001233,T.D-16.06,Myślenicka Szczelina,True,False,False
001234,T.D-16.07,Nyża pod Myślenicką Szczeliną,True,False,False
001235,T.D-16.08,Grota u podnóża Myślenickich Turni,True,False,False
001236,T.D-16.09,Myślenicka Nyża,True,False,False
