dir_id,inventory_number,name,n_submissions,lat,lon,pixels_per_meter,north_angle_deg,ppm_cv,entrance_std_px,flag,has_tif,has_tfw,has_georef
001093,T.D-08.06,Jaskinia między Żleby,5,49.249906,19.866703,195.79,0.013,0.001,1.63,,True,False,False
001094,T.D-08.07,Jaskinia Mroźna,7,49.249694,19.867194,59.09,49.99,0.002,7042.09,high_entrance_std,True,False,False
001095,T.D-08.08,Jaskinia Zimna,6,49.249631,19.867367,23.66,0.002,0.003,4.43,,True,False,False
001096,T.D-08.09,Okna Zbójnickie Niżnie,5,49.249208,19.868931,88.78,0.06,0.003,1.28,,True,False,False
001097,T.D-05.02,Schronisko przy Ścianach,5,49.249261,19.822928,97.72,0.0,0.0,1.07,,True,False,False
001098,T.D-08.10,Okno Zbójnickie Wyżnie,5,49.248733,19.864408,97.71,0.006,0.0,0.6,,True,False,False
001099,T.D-05.03,Schron w Wyżniej Bramie Chochołowskiej,5,49.2457,19.814867,196.1,0.073,0.005,1.77,,True,False,False
001100,T.D-08.11,Przelot,5,49.249344,19.868981,77.17,0.007,0.0,0.42,,True,False,False
001101,T.D-08.12,Dziura pod Oknem,5,49.248969,19.868494,38.6,0.005,0.0,0.35,,True,False,False
001102,T.D-08.13,Jaskinia Balkonowa,5,49.249075,19.868958,196.24,0.003,0.001,1.89,,True,False,False
001103,T.D-08.14,Jaskinia Naciekowa,7,49.249553,19.868247,29.61,0.0,0.011,0.54,,True,False,False
001104,T.D-08.15,Jaskinia pod Ostrewką,5,49.249067,19.868328,194.61,0.001,0.007,1.04,,True,False,False
001105,T.D-05.05,Nyża w Wąwozie Między Ściany,5,49.252464,19.819542,76.84,0.0,0.005,0.41,,True,False,False
001106,T.D-08.16,Zbójnicka Nyża,5,49.249183,19.868092,196.09,0.023,0.002,1.2,,True,False,False
001107,T.D-08.17,Jaskinia Trójotworowa,5,49.248967,19.868014,195.66,0.009,0.0,0.81,,True,False,False
001108,T.D-08.18,Jaskinia Krwawego Nosa,5,49.248719,19.868597,195.64,0.0,0.0,1.5,,True,False,False
001109,T.D-08.19,Szczelina nad Zimną,5,49.248956,19.867944,195.99,-0.003,0.0,1.45,,True,False,False
001110,T.D-08.20,Schron pod Jaskinią Goryckiego,5,49.249864,19.865961,197.22,0.008,0.004,1.07,,True,False,False
001111,T.D-08.21,Lejek,5,49.248994,19.868042,76.99,0.0,0.0,1.41,,True,False,False
001112,T.D-08.22,Szczelina nad Mostkiem,5,49.250603,19.862483,117.91,0.0,0.0,1.7,,True,False,False
001113,T.D-08.23,Dziura w Stołach,5,49.246881,19.856278,196.5,0.0,0.005,1.15,,True,False,False
001114,T.D-08.24,Wielka Szczelina,5,49.247142,19.86075,98.28,-0.049,0.001,1.24,,True,False,False
001115,T.D-08.25,Jaskinia Zawaliskowa w Stołach,5,49.247103,19.860475,196.09,0.003,0.001,0.97,,True,False,False
001116,T.D-08.27,Otwarty Schron,5,49.246436,19.857647,97.74,0.001,0.002,1.45,,True,False,False
001117,T.D-08.28,Korytarz z Różą,5,49.248814,19.868967,195.23,0.0,0.0,0.99,,True,False,False
001118,T.D-08.29,Dziura pod Kazalnicą,5,49.246419,19.861467,196.52,-0.113,0.002,0.56,,True,False,False
001119,T.D-08.30,Schron pod Kazalnicą,5,49.246603,19.861778,97.76,-0.078,0.004,1.54,,True,False,False
001120,T.D-08.31,Dziura w Organach VII,5,49.245983,19.866447,196.48,0.0,0.001,1.52,,True,False,False
001121,T.D-08.32,Schron przed Sową I,5,49.247764,19.864731,99.2,0.0,0.001,1.39,,True,False,False
001122,T.D-08.33,Schron przed Sową II,5,49.248989,19.864936,77.02,0.0,0.002,0.36,,True,False,False
001123,T.D-08.34,Schron przed Sową III,5,49.249542,19.864511,196.04,0.018,0.001,2.46,,True,False,False
001124,T.D-08.35,Kopalnia Maturka,5,49.246367,19.859656,98.02,0.0,0.001,5.24,,True,False,False
001125,T.D-08.36,Szczelina przy Dziurawcu,5,49.251639,19.865617,98.16,0.072,0.002,1.51,,True,False,False
001126,T.D-08.37,Dziura nad Wapiennikiem,5,49.251631,19.864617,97.39,0.0,0.351,1.2,high_ppm_cv,True,False,False
001127,T.D-08.38,Zimna Szczelina I,5,49.247317,19.863161,97.84,-0.1,0.0,1.86,,True,False,False
001128,T.D-08.39,Zimna Szczelina II,5,49.246694,19.862583,196.22,0.094,0.0,2.15,,True,False,False
001129,T.D-08.40,Zimna Szczelina III,5,49.246119,19.862156,98.64,0.105,0.001,1.2,,True,False,False
001131,T.D-08.42,Sowia Jama I,5,49.247444,19.864231,77.11,0.004,0.001,0.54,,True,True,True
001132,T.D-08.43,Sowia Jama II,5,49.247417,19.863956,38.68,0.0,0.0,0.49,,True,False,False
